minimum                  3.347000000000000000e+03 [ pix 3789547 ]
maximum                  1.638300000000000000e+04 [ pix 378621 ]
total                    2.679733776000000000e+10
rms                      1.383837157272628695e+07
rms per pixel            7.108514396829022189e+03
mean                     7.070976105378565990e+03
photocenterX             1.185151865593121556e+03
photocenterY             8.001370913892977796e+02
percentile01             5.372000000000000000e+03
percentile05             5.821000000000000000e+03
percentile10             6.092000000000000000e+03
percentile20             6.417000000000000000e+03
percentile50             7.116000000000000000e+03
percentile80             7.759000000000000000e+03
percentile90             7.994000000000000000e+03
percentile95             8.133000000000000000e+03
percentile99             8.316000000000000000e+03
percentile995            8.379000000000000000e+03
percentile998            8.482000000000000000e+03
percentile999            8.773000000000000000e+03
